Source,Target,Type,Weight,edge_name,edge_color,travel_seconds
233,232,Undirected,0.002777777777777778,12,#A49800,360
175,114,Undirected,0.003424657534246575,9,#A60084,292
205,236,Undirected,0.0031545741324921135,12,#A49800,317
83,63,Undirected,0.0037735849056603774,5,#8FD400,265
43,109,Directed,0.0035587188612099642,6,#98989B,281
109,43,Directed,0.0033783783783783786,6,#98989B,296
280,281,Undirected,0.0034965034965034965,10,#005AA9,286
150,151,Undirected,0.004291845493562232,7,#EE7518,233
288,287,Undirected,0.0026666666666666666,7,#EE7518,375
132,133,Undirected,0.003663003663003663,7,#EE7518,273
64,63,Undirected,0.004291845493562232,6,#98989B,233
205,204,Undirected,0.004291845493562232,10,#005AA9,233
22,23,Undirected,0.003367003367003367,1,#2DBEF0,297
111,259,Directed,0.00392156862745098,6,#98989B,255
259,111,Directed,0.003703703703703704,6,#98989B,270
46,45,Undirected,0.003875968992248062,3,#FFD000,258
7,8,Undirected,0.0032258064516129032,1,#2DBEF0,310
169,64,Undirected,0.0036363636363636364,9,#A60084,275
71,70,Undirected,0.003968253968253968,4,#B65518,252
156,168,Undirected,0.0036231884057971015,9,#A60084,276
324,325,Undirected,0.0033783783783783786,2,#ED1C24,296
200,103,Undirected,0.003875968992248062,10,#005AA9,258
9,39,Undirected,0.004694835680751174,4,#B65518,213
259,43,Directed,0.0041841004184100415,6,#98989B,239
43,259,Directed,0.003937007874015748,6,#98989B,254
140,64,Undirected,0.00390625,7,#EE7518,256
71,72,Undirected,0.0043859649122807015,4,#B65518,228
120,156,Undirected,0.0030959752321981426,8,#EC82B1,323
177,178,Undirected,0.003289473684210526,9,#A60084,304
188,187,Undirected,0.0031645569620253164,10,#005AA9,316
1,261,Undirected,0.00398406374501992,10,#005AA9,251
49,12,Undirected,0.0047169811320754715,3,#FFD000,212
19,18,Undirected,0.003278688524590164,1,#2DBEF0,305
77,76,Undirected,0.003257328990228013,5,#8FD400,307
11,10,Undirected,0.0033003300330033004,1,#2DBEF0,303
232,231,Undirected,0.0030120481927710845,12,#A49800,332
265,264,Undirected,0.0029585798816568047,4,#B65518,338
156,258,Undirected,0.0024875621890547263,8,#EC82B1,402
36,12,Undirected,0.004524886877828055,2,#ED1C24,221
138,78,Undirected,0.0035087719298245615,7,#EE7518,285
1,2,Undirected,0.0036363636363636364,1,#2DBEF0,275
