Source,Target,Weight,edge_name,edge_color,travel_seconds
130,129,0.003649635,6,98989B,274
129,130,0.0034602076,6,98989B,289
142,120,0.0040160643,10,005AA9,249
233,234,0.0031347962,12,A49800,319
3,4,0.0031847134,1,2DBEF0,314
145,41,0.0038610039,7,EE7518,259
30,60,0.0043668122,4,B65518,229
57,86,0.0037174721,5,8FD400,269
1,165,0.0038167939,9,A60084,262
127,36,0.0034965035,R,FFFFFF,286
31,83,0.0034602076,9,A60084,289
11,12,0.0040816327,1,2DBEF0,245
107,96,0.0021598272,6,98989B,463
96,107,0.0020920502,6,98989B,478
105,104,0.0027624309,6,98989B,362
104,105,0.0026525199,6,98989B,377
