Source,Target,Weight,edge_name,edge_color,travel_seconds,longitude_Source,latitude_Source,longitude_Target,latitude_Target,distance_meters,speed_ms
268,269,0.0043859649,3,FFD000,228.0,-3.69585,40.375029999999995,-3.6941800000000002,40.36999,577.3426745715802,2.532204713033247
260,28,0.0028089888,2,ED1C24,356.0,-3.6505199999999998,40.42662,-3.6636599999999997,40.43088,1211.2193319256332,3.402301494173127
262,261,0.002617801,1,2DBEF0,382.0,-3.67637,40.476820000000004,-3.6825900000000003,40.47203,749.0838997332221,1.9609526171026757
108,107,0.00399201596,6,98989B,250.5,-3.7183699999999997,40.3846,-3.7231300000000003,40.3869,478.10830699546216,1.908615995989869
180,179,0.0027397259999999996,9,A60084,365.0,-3.60886,40.40422,-3.6215599999999997,40.40005,1173.3459762496693,3.2146465102730666
277,276,0.0036630037,10,005AA9,273.0,-3.6627699999999996,40.51553,-3.6694400000000003,40.50833,979.1821680493719,3.586747868312717
40,41,0.0039215686,2,ED1C24,255.0,-3.70433,40.43322,-3.70433,40.43841,576.3132696020884,2.2600520376552486
65,66,0.0034722221999999997,4,B65518,288.0,-3.6748199999999995,40.44419,-3.66791,40.44825,739.5255224767766,2.567796953044363
291,292,0.0024570025,7,EE7518,407.0,-3.52549,40.42295,-3.5271800000000004,40.417770000000004,592.8134411101499,1.4565440813517196
84,83,0.0037878788,5,8FD400,264.0,-3.68954,40.43316,-3.68258,40.43278,592.0759892592291,2.242712080527383
30,29,0.0041322314,2,ED1C24,242.0,-3.67591,40.42455,-3.66926,40.4279,675.898839369363,2.7929704106172024
27,26,0.0031347962,1,2DBEF0,319.0,-3.61884,40.37238,-3.6213,40.3796,828.4943643258234,2.597161016695371
17,18,0.0035971223,1,2DBEF0,278.0,-3.6809800000000004,40.40445,-3.6751400000000003,40.40126,609.3033799734543,2.191738776882929
262,263,0.0025773196,1,2DBEF0,388.0,-3.67637,40.476820000000004,-3.6668,40.480140000000006,891.3051614661408,2.297178251201394
191,192,0.0041152263,10,005AA9,243.0,-3.68985,40.458420000000004,-3.69038,40.45159,759.7576244141803,3.1265745860665857
142,64,0.0033333333,7,EE7518,300.0,-3.6914800000000003,40.43825,-3.6766400000000004,40.43803,1259.3453208656122,4.197817736218707
13,12,0.0033333333,1,2DBEF0,300.0,-3.70466,40.41235,-3.7032599999999998,40.41688,516.867094181405,1.7228903139380167
6,7,0.0036363636,1,2DBEF0,275.0,-3.7039699999999995,40.44697,-3.7013300000000005,40.44198,597.6588029736533,2.173304738086012
274,187,0.0044444444,10,005AA9,225.0,-3.6952,40.5012,-3.6928300000000003,40.495090000000005,707.6003366595168,3.144890385153408
220,221,0.0032154340999999997,12,A49800,311.0,-3.80632,40.28518,-3.79891,40.28268,688.5769204804649,2.2140736992940995
58,57,0.0047393365,4,B65518,211.0,-3.69101,40.42542,-3.6959400000000002,40.42772,490.15693842369143,2.323018665515125
97,98,0.0038610039000000003,5,8FD400,259.0,-3.73982,40.38885,-3.7448699999999997,40.38783,443.4930098817684,1.7123282234817312
148,147,0.0031847134,7,EE7518,314.0,-3.7159699999999996,40.46482,-3.71239,40.45648,974.6112746931249,3.103857562716958
223,222,0.0020833333,12,A49800,480.0,-3.75682,40.288740000000004,-3.7869699999999997,40.286840000000005,2572.449756345549,5.359270325719893
235,234,0.0029585799,12,A49800,338.0,-3.7715400000000003,40.328990000000005,-3.7679699999999996,40.32177,857.2055817710336,2.536111188671697
28,63,0.0033670034,5,8FD400,297.0,-3.6636599999999997,40.43088,-3.67495,40.43468,1046.7968711516196,3.5245685897360928
75,76,0.0035714286,5,8FD400,280.0,-3.61699,40.443740000000005,-3.62684,40.44085,895.1776796951264,3.1970631417683086
293,294,0.004,1,2DBEF0,250.0,-3.61346,40.37019,-3.59953,40.36323,1413.201460788973,5.652805843155892
34,33,0.0046082949,2,ED1C24,217.0,-3.69925,40.41805,-3.6949699999999996,40.41922,385.77893555863,1.77778311317341
173,31,0.0034965035,9,A60084,286.0,-3.67858,40.41839,-3.6801199999999996,40.422940000000004,521.8748511758218,1.824737241873503
152,151,0.0040160643,7,EE7518,249.0,-3.72305,40.48502,-3.7184,40.4801,673.745985224279,2.705807169575418
13,14,0.0036900369,1,2DBEF0,271.0,-3.70466,40.41235,-3.6993699999999996,40.412459999999996,449.1703027506516,1.6574549916998214
129,128,0.0033955857299999997,6,98989B,294.5,-3.73894,40.409929999999996,-3.72724,40.4139,1086.5286878602944,3.6894013170128845
256,305,0.0021978022,11,009B3A,455.0,-3.7569,40.36422,-3.7778300000000002,40.35795,1909.3101594701338,4.196286064769525
212,211,0.002617801,12,A49800,382.0,-3.84934,40.345890000000004,-3.83178,40.35008,1562.7429499543648,4.0909501307705884
1,191,0.0039370079,10,005AA9,254.0,-3.68917,40.4669,-3.68985,40.458420000000004,943.4137425229732,3.714227332767611
45,44,0.004587155999999999,3,FFD000,218.0,-3.69423,40.40307,-3.6942,40.3999,352.01348681422144,1.6147407652028507
132,286,0.004587155999999999,7,EE7518,218.0,-3.60788,40.432990000000004,-3.60015,40.43339,657.4066256457171,3.015626723145491
255,254,0.0030487805,11,009B3A,328.0,-3.7519099999999996,40.372,-3.7391,40.3736,1102.3350857451735,3.3607777004426023
166,165,0.0035714286,9,A60084,280.0,-3.67579,40.463,-3.6791699999999996,40.46763,588.6483982354289,2.1023157079836747
27,293,0.0032051282,1,2DBEF0,312.0,-3.61884,40.37238,-3.61346,40.37019,517.6041625448868,1.6589877004643807
15,16,0.0041152263,1,2DBEF0,243.0,-3.6924900000000003,40.40885,-3.6893800000000003,40.40659,364.2374390880198,1.4989195024198345
67,68,0.0036630037,4,B65518,273.0,-3.6611800000000003,40.453540000000004,-3.6561800000000004,40.45583,494.51403423264776,1.8114067188009075
36,90,0.0035714286,5,8FD400,280.0,-3.7094199999999997,40.41809,-3.70816,40.41128,763.7247130761739,2.727588260986335
