Source,Target,Type,Weight,edge_name,edge_color,travel_seconds,longitude_Source,latitude_Source,longitude_Target,latitude_Target,distance_meters,speed_ms
142,64,Undirected,0.0033333333333333327,7,#EE7518,300,-3.6914800000000003,40.43825,-3.6766400000000004,40.43803,1259.3453208656122,4.197817736218707
13,12,Undirected,0.0033333333333333327,1,#2DBEF0,300,-3.70466,40.41235,-3.7032599999999998,40.41688,516.867094181405,1.7228903139380167
6,7,Undirected,0.003636363636363637,1,#2DBEF0,275,-3.7039699999999995,40.44697,-3.7013300000000005,40.44198,597.6588029736533,2.173304738086012
274,187,Undirected,0.004444444444444445,10,#005AA9,225,-3.6952,40.5012,-3.6928300000000003,40.495090000000005,707.6003366595168,3.144890385153408
220,221,Undirected,0.003215434083601286,12,#A49800,311,-3.80632,40.28518,-3.79891,40.28268,688.5769204804649,2.2140736992940995
58,57,Undirected,0.0047393364928909965,4,#B65518,211,-3.69101,40.42542,-3.6959400000000002,40.42772,490.15693842369143,2.323018665515125
97,98,Undirected,0.003861003861003861,5,#8FD400,259,-3.73982,40.38885,-3.7448699999999997,40.38783,443.4930098817684,1.7123282234817312
148,147,Undirected,0.0031847133757961785,7,#EE7518,314,-3.7159699999999996,40.46482,-3.71239,40.45648,974.6112746931249,3.103857562716958
223,222,Undirected,0.0020833333333333333,12,#A49800,480,-3.75682,40.288740000000004,-3.7869699999999997,40.286840000000005,2572.449756345549,5.359270325719893
235,234,Undirected,0.002958579881656805,12,#A49800,338,-3.7715400000000003,40.328990000000005,-3.7679699999999996,40.32177,857.2055817710336,2.536111188671697
28,63,Undirected,0.0033670033670033673,5,#8FD400,297,-3.6636599999999997,40.43088,-3.67495,40.43468,1046.7968711516196,3.5245685897360928
75,76,Undirected,0.0035714285714285718,5,#8FD400,280,-3.61699,40.443740000000005,-3.62684,40.44085,895.1776796951264,3.1970631417683086
293,294,Undirected,0.004,1,#2DBEF0,250,-3.61346,40.37019,-3.59953,40.36323,1413.201460788973,5.652805843155892
34,33,Undirected,0.004608294930875576,2,#ED1C24,217,-3.69925,40.41805,-3.6949699999999996,40.41922,385.77893555863,1.77778311317341
173,31,Undirected,0.0034965034965034965,9,#A60084,286,-3.67858,40.41839,-3.6801199999999996,40.422940000000004,521.8748511758218,1.824737241873503
152,151,Undirected,0.004016064257028112,7,#EE7518,249,-3.72305,40.48502,-3.7184,40.4801,673.745985224279,2.705807169575418
13,14,Undirected,0.003690036900369004,1,#2DBEF0,271,-3.70466,40.41235,-3.6993699999999996,40.412459999999996,449.1703027506516,1.6574549916998214
129,128,Directed,0.003484320557491289,6,#98989B,287,-3.73894,40.409929999999996,-3.72724,40.4139,1086.5286878602944,3.78581424341566
128,129,Directed,0.0033112582781456954,6,#98989B,302,-3.72724,40.4139,-3.73894,40.409929999999996,1086.5286878602944,3.5977771121201805
256,305,Undirected,0.0021978021978021982,11,#009B3A,455,-3.7569,40.36422,-3.7778300000000002,40.35795,1909.3101594701338,4.196286064769525
212,211,Undirected,0.002617801047120419,12,#A49800,382,-3.84934,40.345890000000004,-3.83178,40.35008,1562.7429499543648,4.0909501307705884
1,191,Undirected,0.003937007874015748,10,#005AA9,254,-3.68917,40.4669,-3.68985,40.458420000000004,943.4137425229732,3.714227332767611
45,44,Undirected,0.004587155963302753,3,#FFD000,218,-3.69423,40.40307,-3.6942,40.3999,352.01348681422144,1.6147407652028507
132,286,Undirected,0.004587155963302753,7,#EE7518,218,-3.60788,40.432990000000004,-3.60015,40.43339,657.4066256457171,3.015626723145491
255,254,Undirected,0.003048780487804878,11,#009B3A,328,-3.7519099999999996,40.372,-3.7391,40.3736,1102.3350857451735,3.3607777004426023
166,165,Undirected,0.0035714285714285718,9,#A60084,280,-3.67579,40.463,-3.6791699999999996,40.46763,588.6483982354289,2.1023157079836747
27,293,Undirected,0.003205128205128205,1,#2DBEF0,312,-3.61884,40.37238,-3.61346,40.37019,517.6041625448868,1.6589877004643807
15,16,Undirected,0.00411522633744856,1,#2DBEF0,243,-3.6924900000000003,40.40885,-3.6893800000000003,40.40659,364.2374390880198,1.4989195024198345
